"node","degree","strength","eigencent","betweenness","closeness"
"11632",43,1.25618393747208,0.367137119594693,0.00112281772743872,0.0177878406845212
" 1936",36,1.28645315040513,0.485866492856383,8.39388009832831e-05,0.0178835140149677
" 2159",47,1.43841589790418,0.53080579284933,0.00866095810145694,0.0196455441137944
" 5088",42,1.28729789265047,0.539791965605431,0.00253233551537879,0.0183144580225717
" 5191",52,1.23256508485034,0.383542284816255,0.000360827832798269,0.016719581942227
" 5227",45,1.29809122568609,0.461641379339013,0.00168531670545657,0.0172563832973758
" 2956",45,1.09575972754406,0.233646951077864,0.000162427030474145,0.0119023639967036
" 5013",43,1.48007730321475,0.561955832347581,0.00664097630636572,0.0203129924773228
" 6285",51,1.05882456068822,0.386815488999544,0.00210174036747753,0.0193198928510661
" 2252",29,1.14562421787287,0.322712950376135,0.00136264287310525,0.0164732064663583
" 1972",33,1.04886243814363,0.453112663820887,0.0018902581935716,0.0177798125477916
" 5219",44,1.17487566756856,0.346957024482301,0.000707484179716243,0.0167585212988926
" 1172",44,1.09380812075999,0.233879083953101,1.41714858802945e-05,0.0115671622945582
" 4512",70,1.3422319841056,0.411882869429223,0.00185864487891555,0.0188664242845716
" 1989",51,1.69784467726854,0.699353967188117,0.00845274627044646,0.0204468002789968
" 6559",21,1.04300778289198,0.354546810235979,0.000373909204380079,0.0178100328315465
" 6732",40,1.1595225602174,0.369404933715534,0.00445420702360642,0.0190170801766073
" 1858",37,1.34470834370296,0.513365234630519,0.00304250900706939,0.0188097286736729
" 4461",25,1.24266485213524,0.401786279254757,0.00072492600849199,0.017300794673561
"  236",43,1.1285481700116,0.344048286293669,0.00256067848713938,0.0183010881739126
" 2501",29,1.27236145487193,0.494815226977518,0.00336518283942071,0.0182427441846344
" 3302",33,1.17543434233951,0.303536560850512,0.00128415464361438,0.0174176198706373
" 3666",37,1.37146954697305,0.404178629368671,0.00268168117427112,0.0184459059116213
" 8141",38,1.3671902151538,0.572123643510897,0.00488044171431375,0.019446580337093
" 4493",50,1.22701035139955,0.415941048769626,0.00143350030250672,0.0166435119344629
"  450",36,1.03658949974793,0.284725394254237,0.000245275717158944,0.0165277050869378
" 3231",44,1.31084875011408,0.416170451034118,0.0063324739598947,0.019438947377746
"11652",51,1.21535895256671,0.367253141682623,0.000715114979805633,0.0176883357843224
" 5204",37,1.26506238495773,0.398787559007478,0.0044215035946519,0.0178036152882227
" 5261",35,1.17741891360961,0.347482626775177,0.000417513776319447,0.0167922614783353
" 8796",30,1.31114422559116,0.347926654815986,0.000659519150582939,0.0189228986278608
" 4392",63,1.33184575672092,0.368742010286499,0.0012002158426311,0.017907063333541
" 3251",30,1.12665140399135,0.288715116929493,0.000675870865060202,0.0156192102444871
" 2838",40,1.11848511018867,0.308921174459821,0,0.0152492684754802
" 3254",41,1.12233591040586,0.288962584919291,0.000968021497053966,0.015741358579017
" 4359",45,1.0867075679632,0.226010997629064,0.00105632075523119,0.0162735675830572
" 5193",44,1.21533708600383,0.402275708060196,0.000977832525740324,0.0166607963587084
" 3663",34,0.993828009136743,0.381286612113723,0.00108248349839481,0.0178581918665609
" 5872",73,1.67658606745438,0.664228956294589,0.00327797369554198,0.0190244265116457
" 3258",48,1.28558956584883,0.388355489835299,0.00346220301198581,0.018202601671412
" 4460",33,1.05421929244947,0.312871411808818,0.00138553527337341,0.0188609926179744
" 1934",44,1.30338180841506,0.492182634357097,0.000523254863272414,0.0179560460722103
" 2204",38,1.31478570712338,0.553147692916519,0.00129941624379316,0.0185029126831171
" 1928",47,1.31229973230269,0.494832692520349,0.000486190977123951,0.0180342306760525
" 5213",45,1.19632615093493,0.381707468724612,0.000752178865954095,0.0167013524709954
" 4633",57,1.45464419924255,0.630764990772713,0.00392768181743856,0.0196821139587424
" 4352",50,1.53958124250502,0.613127153925715,0.00749562591637733,0.0196600340280551
" 6984",37,1.09277598218068,0.219575718724397,0.00116206184218415,0.0164424953061212
" 6069",44,1.25602499934843,0.432447723860727,0.000793603209296495,0.0171271929196367
"  444",35,1.08159207506793,0.320023114963576,0.00130704704388255,0.0170748730511721
" 6740",44,1.1390304357601,0.230929997821658,0.00141169801653703,0.0158116681767078
" 5702",45,1.17206422290819,0.262601105945939,0.00448145988106853,0.0180062487902451
" 3653",57,1.68048043249392,0.670670321917696,0.0095668430834973,0.0209833214351875
" 5155",37,1.09143112361921,0.244836711121291,0.000187499659339282,0.0132976115157548
" 5196",47,1.44061529327007,0.530643581241902,0.00242659442842582,0.0175739946619903
" 5151",42,1.11690718783077,0.256216053576288,0.00214643505371538,0.014511262507944
" 8910",31,1.20390483198009,0.322374785543312,0.000586481492584498,0.0174450716961363
" 6730",32,1.11755767775914,0.194337329517088,0.0033248486103768,0.0168295570843871
"  356",60,1.3140091445089,0.42194490629302,0.00466459908321388,0.0193859831102203
" 3722",42,1.19292149803284,0.416060662897595,0.00485972954264255,0.0191088398353076
" 7849",40,1.27273532893441,0.35056686789551,0.00728087339957595,0.0195548836557938
" 5249",47,0.871648660650503,0.23649545349466,0.000609373892852666,0.0154243322222065
" 5217",46,1.18266163070069,0.308429466206808,0.00015588634468324,0.0138089096210627
"  355",28,1.13469032815119,0.377571475416789,0.0011795036709599,0.0180370116156449
" 2825",34,1.135149079302,0.328309782654774,0.000306322117874059,0.0155204799410177
" 6670",43,1.09830467436398,0.167861299995882,0.000336845318231617,0.0145048605280811
" 5183",41,0.925840747904714,0.219384635894189,0.00179214790670802,0.0160265991635951
" 6438",37,1.14253837374898,0.287460420696024,0.0003586476042013,0.0138420879713658
" 3716",57,1.25584056123928,0.435397720337858,0.00243967580000763,0.0186032986379568
" 4419",59,1.13580048263838,0.289121045431628,0.000472019491243657,0.0163662551679271
" 4029",56,1.2540799575756,0.361100064993613,0.00253560585827424,0.0170682839514086
" 3029",65,1.95643162506443,0.71209424726573,0.0180174091253468,0.0217798814594534
" 6424",34,1.09207837281192,0.27650138167613,0.000282339603307407,0.0137791363476454
" 5230",45,1.13295989581824,0.279160818292051,0.000525435091869383,0.0141541900678781
" 6844",46,1.55661267492976,0.551638830199455,0.00639788081780375,0.0197860888092562
" 2963",42,1.46328096542344,0.390599808296585,0.0132863130699254,0.0197343114274192
" 9005",51,1.30752317677168,0.371512576367876,0.00519766497517265,0.0185186314930056
" 4370",51,1.23329866480457,0.472541114233681,0.000961480811263061,0.0176802997434616
" 6725",30,1.15040786668647,0.222115395660263,0.0010759428126039,0.0151858399408608
" 1699",59,1.3210310142091,0.474924744560766,0.00364970267132509,0.0186658664414055
" 5150",45,1.08792674852872,0.229594188342766,0,0.0131258422358023
" 6603",52,1.29821432007366,0.48310493598744,0.00365406312851903,0.0190673571160848
" 3192",35,1.10835707020271,0.267983632435129,0.000216932745398355,0.0143334749282828
" 3276",51,1.1903831623351,0.325510220950208,0.00329759575291469,0.0177339514439805
" 5332",23,1.15871218651005,0.388144517687128,0.000330304632440711,0.0175723775850498
" 6525",32,1.29295215010533,0.418367859267991,0.00229251036971226,0.0184155731476224
" 3647",35,1.34913029366707,0.433449101967819,0.00402688221860062,0.018138452869698
" 4397",33,1.1872230015134,0.412723883679608,0.000646437779001128,0.0175887099685198
" 6576",32,1.34775296143261,0.461389439054102,0.00419148947767173,0.0191206243575554
" 1606",34,1.1944962344572,0.385897398531285,0.00237426894209858,0.0178596805204735
" 5132",42,1.07679100665616,0.230901805501213,3.05232003575575e-05,0.0131332349440492
" 6422",53,1.25003835709927,0.388983443047614,0.00255631802994544,0.0164018531161275
